code,hex
PMS 100 C,#F4ED7C
PMS 286 C,#0033A0
PMS 287 C,#003087
PMS 288 C,#002D72
PMS 289 C,#0C2340
PMS 293 C,#003DA5
PMS 294 C,#002F6C
PMS 295 C,#002855
PMS 296 C,#051C2C
PMS 540 C,#003057
PMS 541 C,#003C71
PMS 542 C,#0072CE
PMS 543 C,#92C1E9
PMS 545 C,#B9D9EB
PMS 547 C,#003B49
PMS 548 C,#003B49
PMS 633 C,#0085AD
PMS 634 C,#0077A0
PMS 635 C,#9BCBEB
PMS 638 C,#00A9CE
PMS 639 C,#0095C8
PMS 640 C,#0086B8
PMS 641 C,#0078AE
PMS 645 C,#739BD0
PMS 647 C,#236192
PMS 648 C,#1F3A6E
PMS 649 C,#DBE2E9
PMS 7461 C,#0080C8
PMS 7462 C,#005C84
PMS 7463 C,#002A3A
PMS 7686 C,#1B3A8E
PMS 7687 C,#1D4F91
PMS 7688 C,#1789C6
PMS 7689 C,#3F92CB
PMS 2174 C,#0057B7
PMS 2175 C,#0F4DA2
PMS 2176 C,#1E5BBE
PMS 2177 C,#3266B5
PMS 2199 C,#1B79C9
PMS 2386 C,#0085CA
PMS 2387 C,#0072CE
PMS 2388 C,#0061A6
PMS 2389 C,#1F4884
PMS 2728 C,#0047BB
PMS 2935 C,#0057B8
PMS 2945 C,#005EB8
PMS 7455 C,#3A5DAE
PMS 7456 C,#7986CB
PMS 354 C,#00B140
PMS 355 C,#009639
PMS 356 C,#007A33
PMS 357 C,#215732
PMS 360 C,#6CC24A
PMS 361 C,#43B02A
PMS 362 C,#3D8A2A
PMS 363 C,#377325
PMS 364 C,#33691E
PMS 365 C,#D7E6B4
PMS 366 C,#C3DD9C
PMS 367 C,#A4D65E
PMS 368 C,#78BE21
PMS 369 C,#64A70B
PMS 370 C,#509E2F
PMS 371 C,#43742B
PMS 372 C,#D8E8B0
PMS 374 C,#B7DD79
PMS 375 C,#97D700
PMS 376 C,#84BD00
PMS 377 C,#7A9A01
PMS 378 C,#587C0E
PMS 379 C,#E5E54A
PMS 380 C,#E1E000
PMS 381 C,#CEDC00
PMS 382 C,#C4D600
PMS 383 C,#A8AD00
PMS 396 C,#E1E000
PMS 397 C,#CEDC00
PMS 398 C,#BFB800
PMS 575 C,#74992E
PMS 576 C,#658D1B
PMS 577 C,#A2B68C
PMS 578 C,#B2BB7B
PMS 579 C,#9DA968
PMS 7740 C,#43B02A
PMS 7741 C,#509E2F
PMS 7742 C,#3F7E3A
PMS 7743 C,#557630
PMS 7488 C,#86CDB1
PMS 7489 C,#74AA50
PMS 7490 C,#719949
PMS 7491 C,#608033
PMS 7492 C,#777034
PMS 7493 C,#9CAF88
PMS 7494 C,#9CAF88
PMS 7495 C,#7E8E03
PMS 7497 C,#7E8132
PMS 2256 C,#5BC236
PMS 2257 C,#67BB43
PMS 2258 C,#5DA13F
PMS 2259 C,#509E2F
PMS 2260 C,#3D8A2A
PMS 2261 C,#357D26
PMS 2280 C,#A4D65E
PMS 2287 C,#84BD00
PMS 2298 C,#5BC236
